Signal_1,Signal_2,Signal_3,Signal_4,Signal_5
12.5,24.49999999999999,17.416106446365944,31.046221737707924,1.9748385303209433
12.500000000000007,24.499999999999996,17.900194468030246,33.89799279240514,2.0726420086546056
12.499999999999984,24.499999999999968,18.12567361550469,28.63054841687879,1.8752317173037552
12.500000000000009,24.50000000000002,17.78093937073395,34.301681395632656,2.096844800104787
12.499999999999998,24.500000000000004,17.342402742905193,30.393039856814816,1.9356775911319217
12.500000000000005,24.499999999999964,17.416106446365927,31.046221737707945,1.9748385303209437
12.50000000000001,24.500000000000043,17.900194468030225,33.897992792405155,2.0726420086546042
12.500000000000002,24.499999999999986,18.12567361550469,28.6305484168788,1.8752317173037527
12.499999999999998,24.500000000000014,17.780939370733975,34.301681395632656,2.096844800104786
12.499999999999986,24.499999999999968,17.34240274290517,30.393039856814784,1.9356775911319193
